tarih,metin
2025-06-13 18:23,"RT @IsciPlatformu1: Teklif edilen yüzde 16 zam kamu işçisini:

- Ciddiye almamaktır.
- Kamu işçisine sövmektir.
- İşçi konfederasyonlarını…"
2025-06-13 18:23,RT @YalcinDoganVHP: Polis maaşlarının diğer kurumlar karşısında düşük kamasının en önemli sebebi Sendikalı Memurların sendikaları aracılığı…
2025-06-13 18:23,"RT @kadertahmaz: @cenginyurt52 @ekremacikel @halktvcomtr Sayın Vekilim @cenginyurt52

İktidar &amp; Tüik işbirliği ile emekli açlığa ve sefalet…"
2025-06-13 18:23,RT @Galip4491: Hükümetin sunduğu zam teklifi gerçeklikten kopuk ve enflasyonun çok altında kaldı. Kamu işçileri insanca yaşamak için hak et…
2025-06-13 18:23,"RT @KamuIsciHaber: 🛑 600 BİNİ AŞKIN KAMU İŞÇİSİ 170 GÜNDÜR BEKLİYOR!
TÜHİS’in %16’lık zam teklifi sefalet dayatmasıdır!

📌 Enflasyon %15
📌…"
2025-06-13 18:23,"RT @ictnky74: Kamu işçisini %27 vergi dilimine girsin diye 6 ay bekletip sonra dalga geçer gibi %16 zam vermek
 
👉HAKARETTİR,
👉DALGA GEÇMEK…"
2025-06-13 18:23,"RT @gokboru1111: POLİSLERİN HAKLI İSTEKLERİ:

1- Maaşa %100 zam yapılmalı
2- Mesai ücreti getirilmeli
3- Tüm ek görevler ücretli olmalı
4-…"
2025-06-13 18:23,"Hükümet tarafı (TÜHİS) tarafından sunulan ilk teklif:

📆 1. Yıl

İlk 6 Ay: %16 zam

İkinci 6 Ay: %8 zam

📆 2. Yıl

İlk 6 Ay: %7 zam

İkinci 6 Ay: %5 zam

BİZİM BU TEKLİFİ KABUL ETMEMİZ MÜMKÜN DEĞİL❗️
#kamuiscileri 
@hakiskonf 
@turkiskonf 
#EylemeHazırız
#SİZNEREDESİNİZ https://t.co/YlwBtXiSaw"
2025-06-13 18:23,"RT @KamuIsciHaber: YA İSTİFA YA ZAM!

🏠  #kamuiscileri  Kiramı ödeyecek @memetsimsek
📄 Sözleşmemi istiyorum @isikhanvedat
🤷‍♂️ Neredesiniz…"
2025-06-13 18:23,RT @elkap_necla: @CapndaArastrmci Çalışan Memur ile #EmekliMemur 75 yıldır aynı hakları alıyor du  2 yıl önce Seyyanen zam  Memura  verildi…
